name,type,aggregatable,description,raw / calculated
author_date,date,true,Author date (when the original author made the commit).,GrimoireLab / SortingHat
commit_date,date,true,Date when committer made this commit.,Data Source / Parsed
commit_sha,string,true,Commit hash.,Data Source / Parsed
dependency,string,true,Name of the dependency.,Data Source / Parsed
file_path,string,true,File Path,Data Source / Parsed
grimoire_creation_date,date,true,Commit date (when the original author made the commit).,GrimoireLab
id,string,true,Graal Item Id.,Data Source / Parsed
is_dockerdeps_file,number,true,Field containing '1' that allows to sum fields when concatenating with other indexes.,GrimoireLab
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
origin,keyword,true,Original URL where the repository was retrieved from.,Data Source / Parsed
project,keyword,true,Project.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
