name,type,aggregatable,description,raw / calculated
<Demography contribution fields>,NA,NA,"Fields coming from demography contribution study (available only when it is active), see demography_contribution.csv.",Data Source / Parsed
approval_author_domain,keyword,true,Domain of the developer approving the patchset.,GrimoireLab / SortingHat
approval_author_name,keyword,true,Name of developer approving the patchset.,Data Source / Parsed
approval_description,keyword,true,Description of the approval.,Data Source / Parsed
approval_granted_on,date,true,Date when the changeset was approved.,Data Source / Parsed
approval_type,keyword,true,Type of the approval.,Data Source / Parsed
approval_value,keyword,true,Value of the approval.,Data Source / Parsed
author_bot,boolean,true,"True if the given patchset comment author is identified as a bot, equals to reviewer_bot.",GrimoireLab / SortingHat
author_domain,keyword,true,"Domain associated to the patchset comment author in SortingHat profile, equals to reviewer_domain.",GrimoireLab / SortingHat
author_gender,keyword,true,"Patchset comment author gender, equals to reviewer_gender.",GrimoireLab / SortingHat
author_gender_acc,long,true,"Accuracy of the patchset comment author gender, equals to reviewer_gender_acc.",GrimoireLab / SortingHat
author_id,keyword,true,"Patchset comment author Id from SortingHat, equals to reviewer_id.",GrimoireLab / SortingHat
author_name,keyword,true,"Patchset comment author name, equals to reviewer_name.",GrimoireLab / SortingHat
author_org_name,keyword,true,"Organization the patchset comment author belongs to, equals to reviewer_org_name.",GrimoireLab / SortingHat
author_user_name,keyword,true,"Patchset comment author user name, equals reviewer_user_name.",GrimoireLab / SortingHat
author_uuid,keyword,true,"Patchset comment author unique identifier from SortingHat, equals reviewer_user_name.",GrimoireLab / SortingHat
branch,keyword,true,Development branch created for this changeset.,Data Source / Parsed
by_bot,boolean,true,True if the given changeset approver is identified as a bot.,GrimoireLab / SortingHat
by_domain,keyword,true,Domain associated to the changeset approver in SortingHat profile.,GrimoireLab / SortingHat
by_gender,keyword,true,Changeset approver gender.,Data Source / Parsed
by_gender_acc,long,true,Accuracy of the changeset approver gender.,Data Source / Parsed
by_id,keyword,true,Changeset approver Id from SortingHat.,Data Source / Parsed
by_name,keyword,true,Changeset approver name.,Data Source / Parsed
by_org_name,keyword,true,Organization the changeset approver belongs to.,GrimoireLab / SortingHat
by_user_name,keyword,true,Changeset approver user name.,Data Source / Parsed
by_uuid,keyword,true,Changeset approver unique identifier from SortingHat.,GrimoireLab / SortingHat
changeset_author_bot,boolean,true,"True if the given changeset author is identified as a bot, equal to owner_bot.",GrimoireLab / SortingHat
changeset_author_domain,keyword,true,"Domain associated to the changeset author in SortingHat profile, equal to owner_domain.",GrimoireLab / SortingHat
changeset_author_gender,keyword,true,"Changeset author gender, equal to owner_gender.",Data Source / Parsed
changeset_author_gender_acc,long,true,"Accuracy of the changeset author gender, equal to owner_gender_acc.",Data Source / Parsed
changeset_author_id,keyword,true,"Changeset author Id from SortingHat, equal to owner_id.",Data Source / Parsed
changeset_author_name,keyword,true,"Changeset author name, equal to owner_name.",Data Source / Parsed
changeset_author_org_name,keyword,true,"Organization the changeset author belongs to, equal to owner_org_name.",GrimoireLab / SortingHat
changeset_author_user_name,keyword,true,"Changeset author user name, equal to owner_user_name.",Data Source / Parsed
changeset_author_uuid,keyword,true,"Changeset author unique identifier from SortingHat, equal to owner_uuid.",GrimoireLab / SortingHat
changeset_number,long,true,Gerrit changeset unique identifier.,Data Source / Parsed
changeset_status,keyword,true,"Changeset status such as Abandoned, Merged or Open. The actual value depends on the instance of Gerrit.",Data Source / Parsed
changeset_status_value,keyword,true,"Value of the last code-review approval made by someone else than the author for a given changeset, it can be -2 -1 1 or 2.",Data Source / Parsed
changeset_status_value_verified,keyword,true,"Value of the last Verified approval made by someone else than the author for a given changeset, it can be -2 -1 1 or 2.",Data Source / Parsed
closed,date,true,Closing date of the changeset.,Data Source / Parsed
comment_created_on,date,true,Creation date of the changeset comment.,Data Source / Parsed
comment_message,keyword,true,Message of the patchset comment,Data Source / Parsed
created_on,date,true,Creation date of the changeset.,Data Source / Parsed
domain,keyword,true,Domain of changeset owner.,Data Source / Parsed
githash,keyword,true,Hash of the commit included in the changeset.,Data Source / Parsed
grimoire_creation_date,date,true,Commit creation date.,GrimoireLab
id,keyword,true,Id of the item,Data Source / Parsed
is_gerrit_approval,long,true,Field containing '1' only if the item is a patchset approval.,GrimoireLab
is_gerrit_changeset,long,true,Field containing '1' only if the item is a patchset changeset.,GrimoireLab
is_gerrit_comment,long,true,Field containing '1' only if the item is a patchset comment.,GrimoireLab
is_gerrit_patchset,long,true,Field containing '1' only if the item is a patchset.,GrimoireLab
