name,type,aggregatable,description,raw / calculated
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Author domain from Email.,GrimoireLab / SortingHat
author_gender,keyword,true,Author gender.,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_multi_org_names,keyword,true,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author username for the platform,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
fromUser_bot,boolean,true,True if the given sender is identified as a bot.,GrimoireLab / SortingHat
fromUser_domain,keyword,true,Sender domain from Email.,GrimoireLab / SortingHat
fromUser_gender,keyword,true,Author gender.,Data Source / Parsed
fromUser_id,keyword,true,Sender Id from SortingHat.,Data Source / Parsed
fromUser_multi_org_names,keyword,true,List of the sender organizations from SortingHat profile.,GrimoireLab / SortingHat
fromUser_name,keyword,true,Sender name.,Data Source / Parsed
fromUser_org_name,keyword,true,Sender organization name from SortingHat profile.,GrimoireLab / SortingHat
fromUser_user_name,keyword,true,Sender username for the platform,Data Source / Parsed
fromUser_uuid,keyword,true,Sender UUID from SortingHat.,GrimoireLab / SortingHat
grimoire_creation_date,date,true,Message date (when the original author sent the message).,GrimoireLab
id,keyword,true,Message sender user ID for gitter.,Data Source / Parsed
is_gitter_message,boolean,true,True if the item is a Gitter message.,GrimoireLab
issues,list,true,"List of issues mentioned in the message, Empty if no issues were mentioned.",Data Source / Parsed
mentioned,list,true,"List of users mentioned in the message, Empty if no user is mentioned.",Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
origin,keyword,true,Original URL where the room was retrieved from.,Data Source / Parsed
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy),GrimoireLab / projects.json
project,keyword,true,Project.,GrimoireLab / projects.json
readBy,int,true,Count of users who have read the message,Data Source / Parsed
repository_labels,keyword,true,Custom repository labels defined by the user.,GrimoireLab / projects.json
tag,keyword,true,Perceval tag.,Data Source / Parsed
text_analyzed,keyword,true,Message body in plain text.,Data Source / Parsed
tz,int,true,Time of the day the message was sent.,Data Source / Parsed
unread,boolean,true,"True if the message is unread by user, False if read.",Data Source / Parsed
url_hostname,list,true,List of URL hostnames of the URL(s) mentioned in the message.,Data Source / Parsed
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
