name,type,aggregatable,description,raw / calculated
author,string,true,Author name.,Data Source / Parsed
author_date,date,true,Author date (when the original author made the commit).,GrimoireLab / SortingHat
blanks,number,true,Number of blank lines in a file.,Data Source / Parsed
blanks_per_loc,number,true,Number of blank lines per line of code.,Data Source / Parsed
ccn,number,true,Code Complexity of a file.,Data Source / Parsed
comments,number,true,Number of comments in a file.,Data Source / Parsed
comments_per_loc,number,true,Number of comment lines per line of code.,Data Source / Parsed
commit_date,date,true,Date when committer made this commit.,Data Source / Parsed
commit_parents,keyword,true,Commit parents.,Data Source / Parsed
commit_sha,string,true,Commit hash.,Data Source / Parsed
committer,string,true,Author name.,Data Source / Parsed
ext,string,true,File extension,Data Source / Parsed
file_path,string,true,File Path,Data Source / Parsed
files_at_commit,string,true,List of files in the given revision.,Data Source / Parsed
grimoire_creation_date,date,true,Commit date (when the original author made the commit).,GrimoireLab
id,string,true,Graal Item Id.,Data Source / Parsed
loc,number,true,Lines of code in a file.,Data Source / Parsed
loc_per_function,number,true,Number of lines of code per function definition.,Data Source / Parsed
message,string,true,Commit message as a single String.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
modules,string,true,Modules which the file is part of,Data Source / Parsed
num_funs,number,true,Number of function definition in the file,Data Source / Parsed
origin,keyword,true,Original URL where the repository was retrieved from.,Data Source / Parsed
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy),GrimoireLab / projects.json
project,keyword,true,Project.,GrimoireLab / projects.json
repo_url,keyword,true,Anonymized URL where the repository was retrieved from.,Data Source / Parsed
tag,keyword,true,Graal tag.,Data Source / Parsed
tokens,number,true,Number of tokens in a file,Data Source / Parsed
uuid,keyword,true,Graal UUID.,Data Source / Parsed
