name,type,aggregatable,description,raw / calculated
author_bot,boolean,true,Author bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Author domain.,GrimoireLab / SortingHat
author_id,keyword,true,Author id.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author org name.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author uuid.,GrimoireLab / SortingHat
body_extract,keyword,true,Body extract.,Data Source / Parsed
body,text,false,Body.,Data Source / Parsed
Date,keyword,true,Date.,Data Source / Parsed
email_date,date,true,Email date.,Data Source / Parsed
From_bot,boolean,true,From bot.,GrimoireLab / SortingHat
From_domain,keyword,true,From domain.,GrimoireLab / SortingHat
mbox_author_domain,keyword,true,Mbox author domain.,GrimoireLab / SortingHat
From_id,keyword,true,From id.,Data Source / Parsed
From_name,keyword,true,From name.,Data Source / Parsed
From_org_name,keyword,true,From org name.,GrimoireLab / SortingHat
From_uuid,keyword,true,From uuid.,GrimoireLab / SortingHat
grimoire_creation_date,date,true,Date when the item was created in GrimoireLab.,GrimoireLab
is_mbox_message,long,true,Is mbox message.,GrimoireLab
is_groupsio_message,long,true,Is groupsio message.,GrimoireLab
list,keyword,true,List.,Data Source / Parsed
Message-ID,keyword,true,Message-id.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
origin,keyword,true,Repository or source URL.,Data Source / Parsed
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
project,keyword,true,Project assigned to the item.,GrimoireLab / projects.json
repository_labels,keyword,true,Labels attached to the repository from projects.json.,GrimoireLab / projects.json
root,boolean,true,Root.,Data Source / Parsed
size,long,true,Size.,Data Source / Parsed
Subject_analyzed,text,false,Subject analyzed.,Data Source / Parsed
Subject,keyword,true,Subject.,Data Source / Parsed
tag,keyword,true,Tag provided by the data source.,Data Source / Parsed
tz,long,true,Tz.,Data Source / Parsed
uuid,keyword,true,Item UUID.,Data Source / Parsed
