name,type,aggregatable,description,raw / calculated
activity_count,long,true,Count of activities on the bug.,Data Source / Parsed
assignee_data_bot,boolean,true,True if the given assignee is identified as a bot.,GrimoireLab / SortingHat
assignee_data_domain,keyword,true,Assignee domain from Email.,GrimoireLab / SortingHat
assignee_data_gender,keyword,true,Assignee gender.,GrimoireLab / SortingHat
assignee_gender_acc,long,true,Assignee gender accuracy (disabled by default).,GrimoireLab / SortingHat
assignee_data_id,keyword,true,Assignee Id from SortingHat.,GrimoireLab / SortingHat
assignee_data_multi_org_names,keyword,true,List of the assignee organizations from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_name,keyword,true,Assignee name.,GrimoireLab / SortingHat
assignee_data_org_name,keyword,true,Assignee organization name from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_user_name,keyword,true,Assignee username for the platform,GrimoireLab / SortingHat
assignee_data_uuid,keyword,true,Assignee UUID from SortingHat.,GrimoireLab / SortingHat
assignee_joined,date,true,Date assignee joined the platform.,GrimoireLab / SortingHat
assignee_karma,long,true,Assignee karma.,GrimoireLab / SortingHat
assignee_login,keyword,true,Assignee username.,GrimoireLab / SortingHat
assignee_name,keyword,true,Assignee real name.,GrimoireLab / SortingHat
assignee_time_zone,keyword,true,Assignee region name.,GrimoireLab / SortingHat
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Author domain from Email.,GrimoireLab / SortingHat
author_gender,keyword,true,Author gender.,GrimoireLab / SortingHat
author_gender_acc,long,true,Author gender accuracy (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_multi_org_names,keyword,true,List of the assignee organizations from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author username for the platform,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
bug_id,keyword,true,Bug ID on Launchpad.,Data Source / Parsed
bug_name,keyword,true,Nickname for the bug.,Data Source / Parsed
bug_target_name,keyword,true,Target of the bug.,Data Source / Parsed
date_created,date,true,Date the bug was created.,Data Source / Parsed
date_incomplete,date,true,Date the bug was marked incomplete.,Data Source / Parsed
date_last_updated,date,true,Date the bug was last updated.,Data Source / Parsed
date_left_new,date,true,Date the bug left status 'new'.,Data Source / Parsed
date_triaged,date,true,Date the bug was marked Triaged.,Data Source / Parsed
description,keyword,false,Description of the bug.,Data Source / Parsed
description_analyzed,text,false,Description of bug split by terms to allow searching.,Data Source / Parsed
grimoire_creation_date,date,true,Message date (when the original author sent the message).,GrimoireLab
heat,long,true,Heat(points) of the bug.,Data Source / Parsed
importance,keyword,true,Importance of the bug.,Data Source / Parsed
is_complete,boolean,true,"1 if work on bug is completed, 0 if incomplete or ongoing.",GrimoireLab
is_launchpad_issue,boolean,true,Is a launchpad bug.,GrimoireLab
latest_patch_uploaded,date,true,Date the last patch for bug was uploaded.,Data Source / Parsed
