name,type,aggregatable,description,raw / calculated
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Organization name.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
contributions,long,true,Number of contributions in this quarter made by this author as member of `author_org_name` and included within `project`.,Data Source / Parsed
cum_net_sum,long,true,Sum of commits used to compute onion.,Data Source / Parsed
data_source,keyword,true,Data source name for which Onion is computed.,Data Source / Parsed
grimoire_creation_date,date,true,Corresponds to timeframe. It is used like an alias through all data sources to identify the field we rely on to sort things in time series and filter events when using Kibana's time picker.,GrimoireLab
metadata__enriched_on,date,true,Time when item was enriched to be stored in this index.,GrimoireLab
metadata__timestamp,date,true,Time when most recent item of current quarter was written in ElasticSearch (index time in source index).,GrimoireLab
onion_role,keyword,true,"Core, regular or casual, see study description in https://github.com/chaoss/grimoirelab-elk/blob/master/doc/studies.md.",Data Source / Parsed
percent_cum_net_sum,float,true,Percentage corresponding to above's `cum_net_sum` field.,Data Source / Parsed
project,keyword,true,Project name.,GrimoireLab / projects.json
quarter,keyword,true,Quarter as String following format YYYYQN.,Data Source / Parsed
timeframe,date,true,Date corresponding to quarter start time.,Data Source / Parsed
