name,type,aggregatable,description,raw / calculated
assignee_bot,boolean,true,True if the given assignee is identified as a bot.,GrimoireLab / SortingHat
assignee_domain,keyword,true,Domain associated to the assignee in SortingHat profile.,GrimoireLab / SortingHat
assignee_gender,keyword,true,"Assignee gender, based on her name (disabled by default).",GrimoireLab / SortingHat
assignee_gender_acc,long,true,Assignee gender accuracy (disabled by default).,GrimoireLab / SortingHat
assignee_id,keyword,true,Assignee Id from SortingHat.,GrimoireLab / SortingHat
assignee_multi_org_names,keyword,true,List of the assignee organizations from SortingHat profile.,GrimoireLab / SortingHat
assignee_name,keyword,true,Assignee name.,GrimoireLab / SortingHat
assignee_org_name,keyword,true,Assignee organization name.,GrimoireLab / SortingHat
assignee_user_name,keyword,true,Assignee user name from SortingHat.,GrimoireLab / SortingHat
assignee_username,keyword,true,Assignee user name from Pagure.,GrimoireLab / SortingHat
assignee_uuid,keyword,true,Assignee UUID from SortingHat.,GrimoireLab / SortingHat
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Domain associated to the author in SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,true,"Author gender, based on her name (disabled by default).",GrimoireLab / SortingHat
author_gender_acc,keyword,true,Author gender accuracy (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_multi_org_names,keyword,true,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author user name from SortingHat.,GrimoireLab / SortingHat
author_username,keyword,true,Author user name from GitLab.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
body,keyword,true,Body of the Comment.,Data Source / Parsed
body_analyzed,text,false,Body of the Comment.,Data Source / Parsed
blocks,keyword,true,Issue blocks.,Data Source / Parsed
close_status,keyword,true,Issue close status.,Data Source / Parsed
closed_at,date,true,Date in which the Issue was closed.,Data Source / Parsed
closed_by_name,keyword,true,Issue closed by name.,Data Source / Parsed
closed_by_username,keyword,true,Issue closed by username.,Data Source / Parsed
comment_author_name,keyword,true,Comment author name.,Data Source / Parsed
comment_author_username,keyword,true,Comment author username.,Data Source / Parsed
comment_created_at,date,true,Date in which comment was created.,Data Source / Parsed
comment_changed_at,date,true,Date in which comment was last modified.,Data Source / Parsed
comment_updated_at,date,true,Date in which comment was last updated. If not updated it is null.,Data Source / Parsed
content,keyword,true,Issue content.,Data Source / Parsed
created_at,date,true,Date in which the Issue was created.,Data Source / Parsed
custom_fields,keyword,true,Custom fields of the Issue.,Data Source / Parsed
grimoire_creation_date,date,true,Issue/Comment creation date.,GrimoireLab
id,keyword,true,Issue/Comment Id in Pagure.,Data Source / Parsed
is_pagure_issue,long,true,"1 indicating this is an Issue, used for counting in case other kind of items could be stored in the same index or alias.",GrimoireLab
is_pagure_issue_comment,long,true,1 indicating this is a Comment of an Issue.,GrimoireLab
issue_closed_at,date,true,Date when an Issue was closed.,Data Source / Parsed
issue_created_at,date,true,Date when an Issue was opened.,Data Source / Parsed
issue_id,long,true,Issue ID on Pagure.,Data Source / Parsed
issue_pull_requests.id,keyword,true,Id of Pull request related to the Issue.,Data Source / Parsed
issue_pull_requests.title,keyword,true,Title of Pull request related to the Issue.,Data Source / Parsed
issue_status,keyword,true,Status of the Issue.,Data Source / Parsed
issue_title,keyword,true,Issue title.,Data Source / Parsed
issue_updated_at,date,true,Date when the Issue was updated.,Data Source / Parsed
item_type,keyword,true,Type of item(Issue/Comment).,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated on its original data source.,GrimoireLab
milestone,keyword,true,Assigned milestone.,Data Source / Parsed
num_comments,long,true,Number of comments in the Issue.,Data Source / Parsed
notification,boolean,true,True if notification is enabled.,Data Source / Parsed
origin,keyword,true,Original URL where the repository was retrieved from.,Data Source / Parsed
parent,keyword,true,Parent of the comment.,Data Source / Parsed
priority,keyword,true,Priority assigned to the Issue.,Data Source / Parsed
private,boolean,true,True if Issue is private.,Data Source / Parsed
project,keyword,true,Project.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
related_prs.id,keyword,true,Id of Pull request related to the Issue.,Data Source / Parsed
related_prs.title,keyword,true,Title of Pull request related to the Issue.,Data Source / Parsed
repository_labels,keyword,true,Custom repository labels defined by the user.,GrimoireLab / projects.json
status,keyword,true,Status of the Issue.,Data Source / Parsed
tag,keyword,true,Perceval tag.,Data Source / Parsed
tags,keyword,true,Tags assigned to the Issue.,Data Source / Parsed
time_open_days,float,true,Time open in days.,Data Source / Parsed
time_to_close_days,float,true,Time to close Issue in days.,Data Source / Parsed
time_to_first_attention,float,true,Time in days from creation to first comment added by an author different from the one who created this Issue.,Data Source / Parsed
title,keyword,true,Issue title.,Data Source / Parsed
title_analyzed,text,false,Issue title split by by terms to allow searching.,Data Source / Parsed
updated_at,date,true,Date when the Issue was updated.,Data Source / Parsed
user_bot,boolean,true,True if the given user is identified as a bot.,GrimoireLab / SortingHat
user_domain,keyword,true,Domain associated to the assignee in SortingHat profile.,GrimoireLab / SortingHat
user_gender,keyword,true,"Assignee gender, based on her name (disabled by default).",GrimoireLab / SortingHat
user_gender_acc,long,true,Assignee gender accuracy (disabled by default).,GrimoireLab / SortingHat
user_id,keyword,true,Assignee Id from SortingHat.,GrimoireLab / SortingHat
user_name,keyword,true,User's name from SortingHat profile,GrimoireLab / SortingHat
user_org_name,keyword,true,User's organization name from SortingHat profile.,GrimoireLab / SortingHat
user_user_name,keyword,true,User's username from SortingHat profile.,GrimoireLab / SortingHat
user_uuid,keyword,true,User's UUID from SortingHat profile.,GrimoireLab / SortingHat
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
