name,type,aggregatable,description,raw / calculated
assigned_to_bot,boolean,true,Assigned to bot.,GrimoireLab / SortingHat
assigned_to_domain,keyword,true,Assigned to domain.,GrimoireLab / SortingHat
assigned_to_id,keyword,true,Assigned to id.,GrimoireLab / SortingHat
assigned_to_name,keyword,true,Assigned to name.,GrimoireLab / SortingHat
assigned_to_org_name,keyword,true,Assigned to org name.,GrimoireLab / SortingHat
assigned_to_realName,keyword,true,Assigned to realname.,GrimoireLab / SortingHat
assigned_to_roles_analyzed,text,false,Assigned to roles analyzed.,GrimoireLab / SortingHat
assigned_to_roles,keyword,true,Assigned to roles.,GrimoireLab / SortingHat
assigned_to_user_name,keyword,true,Assigned to user name.,GrimoireLab / SortingHat
assigned_to_userName,keyword,true,Assigned to username.,GrimoireLab / SortingHat
assigned_to_uuid,keyword,true,Assigned to uuid.,GrimoireLab / SortingHat
author_bot,boolean,true,Author bot.,GrimoireLab / SortingHat
authorData_bot,boolean,true,Authordata bot.,GrimoireLab / SortingHat
authorData_domain,keyword,true,Authordata domain.,GrimoireLab / SortingHat
authorData_id,keyword,true,Authordata id.,Data Source / Parsed
authorData_name,keyword,true,Authordata name.,Data Source / Parsed
authorData_org_name,keyword,true,Authordata org name.,GrimoireLab / SortingHat
authorData_user_name,keyword,true,Authordata user name.,Data Source / Parsed
authorData_uuid,keyword,true,Authordata uuid.,GrimoireLab / SortingHat
author_domain,keyword,true,Author domain.,GrimoireLab / SortingHat
author_id,keyword,true,Author id.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author org name.,GrimoireLab / SortingHat
author_realName,keyword,true,Author realname.,GrimoireLab / SortingHat
author_roles,keyword,true,Author roles.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author user name.,GrimoireLab / SortingHat
author_userName,keyword,true,Author username.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author uuid.,GrimoireLab / SortingHat
bug_id,long,true,Bug id.,Data Source / Parsed
changes_assignee_list,keyword,true,Changes assignee list.,Data Source / Parsed
changes_assignee_number,long,true,Changes assignee number.,Data Source / Parsed
changes_assignment,long,true,Changes assignment.,Data Source / Parsed
changes,long,true,Changes.,Data Source / Parsed
comments,long,true,Comments.,Data Source / Parsed
creation_date,date,true,Creation date.,Data Source / Parsed
grimoire_creation_date,date,true,Date when the item was created in GrimoireLab.,GrimoireLab
id,long,true,Id.,Data Source / Parsed
is_phabricator_task,long,true,Is phabricator task.,GrimoireLab
main_description_analyzed,text,false,Main description analyzed.,Data Source / Parsed
main_description,keyword,true,Main description.,Data Source / Parsed
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
modification_date,date,true,Modification date.,Data Source / Parsed
num_changes,long,true,Num changes.,Data Source / Parsed
origin,keyword,true,Repository or source URL.,Data Source / Parsed
ownerData_bot,boolean,true,Ownerdata bot.,GrimoireLab / SortingHat
ownerData_domain,keyword,true,Ownerdata domain.,GrimoireLab / SortingHat
ownerData_id,keyword,true,Ownerdata id.,Data Source / Parsed
ownerData_name,keyword,true,Ownerdata name.,Data Source / Parsed
ownerData_org_name,keyword,true,Ownerdata org name.,GrimoireLab / SortingHat
ownerData_user_name,keyword,true,Ownerdata user name.,Data Source / Parsed
ownerData_uuid,keyword,true,Ownerdata uuid.,GrimoireLab / SortingHat
phid,keyword,true,Phid.,Data Source / Parsed
priority,keyword,true,Priority.,Data Source / Parsed
priority_value,long,true,Priority value.,Data Source / Parsed
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
project,keyword,true,Project assigned to the item.,GrimoireLab / projects.json
repository_labels,keyword,true,Labels attached to the repository from projects.json.,GrimoireLab / projects.json
status,keyword,true,Status.,Data Source / Parsed
tag,keyword,true,Tag provided by the data source.,Data Source / Parsed
tags_analyzed,text,false,Tags analyzed.,Data Source / Parsed
tags_custom_analyzed,keyword,true,Tags custom analyzed.,Data Source / Parsed
tags,keyword,true,Tags.,Data Source / Parsed
time_open_days_enrich,float,true,Time open days enrich.,Data Source / Parsed
timeopen_days,float,true,Timeopen days.,Data Source / Parsed
time_to_assign_days,float,true,Time to assign days.,Data Source / Parsed
time_to_attend_days,float,true,Time to attend days.,Data Source / Parsed
time_to_close_days,float,true,Time to close days.,Data Source / Parsed
type,keyword,true,Type.,Data Source / Parsed
update_date,date,true,Update date.,Data Source / Parsed
url,keyword,true,Url.,Data Source / Parsed
uuid,keyword,true,Item UUID.,Data Source / Parsed
