name,type,aggregatable,description,raw / calculated
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Domain associated to the author in SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,true,Author gender.,GrimoireLab / SortingHat
author_gender_acc,keyword,true,Accuracy to assess author gender.,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_multi_org_names,keyword,true,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author username from Sortinghat profile.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
avatar,keyword,true,Avatar associated with User profile.,Data Source / Parsed
channel_created,date,true,Date when channel was created in UNIX timestamp format.,Data Source / Parsed
channel_id,keyword,true,Channel Id of a Slack channel.,Data Source / Parsed
channel_is_archived,long,true,1 indicating that the channel is archived.,Data Source / Parsed
channel_is_general,long,true,1 indicating that the channel is general.,Data Source / Parsed
channel_is_starred,long,true,1 indicating that the channel is starred.,Data Source / Parsed
channel_member_count,long,true,Number of members in a Slack channel.,Data Source / Parsed
channel_name,keyword,true,Channel Name.,Data Source / Parsed
channel_purpose,keyword,true,Channel purpose.,Data Source / Parsed
channel_topic,keyword,true,Channel topic.,Data Source / Parsed
grimoire_creation_date,date,true,Message creation date.,GrimoireLab
is_admin,long,true,1 indicating the user is an admin.,GrimoireLab
is_owner,long,true,1 indicating the user is an owner.,GrimoireLab
is_primary_owner,long,true,1 indicating the user is a primary owner.,GrimoireLab
is_slack_message,long,true,1 indicating the item is a message.,GrimoireLab
message_file_size,long,true,Total size of files in a message if present.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated on its original data source.,GrimoireLab
number_attachs,long,true,Number of attachments in a message.,Data Source / Parsed
number_files,long,true,Number of files a message contains if present.,Data Source / Parsed
origin,keyword,true,Original URL where the channel was retrieved from.,Data Source / Parsed
profile_title,keyword,true,Title in a user profile.,Data Source / Parsed
project,keyword,true,Project.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
reaction_count,long,true,Number of reactions on a message.,Data Source / Parsed
reactions,keyword,true,Reactions on a message.,Data Source / Parsed
reply_count,long,true,Number of replies on a message.,Data Source / Parsed
repository_labels,keyword,true,Custom repository labels defined by the user.,GrimoireLab / projects.json
subscribed,long,true,1 indicating message type is subscribed.,Data Source / Parsed
subtype,keyword,true,Message subtype.,Data Source / Parsed
tag,keyword,true,Perceval tag.,Data Source / Parsed
team_id,keyword,true,Team Id.,Data Source / Parsed
text,keyword,true,Message text.,Data Source / Parsed
text_analyzed,keyword,true,Message body in plain text.,Data Source / Parsed
type,keyword,true,Slack item type.,Data Source / Parsed
tz,long,true,Timezone of the user.,Data Source / Parsed
unread_count,long,true,Number of unread messages.,Data Source / Parsed
user,keyword,true,Slack user.,Data Source / Parsed
user_data_bot,long,true,1 if the given user is identified as a bot.,GrimoireLab / SortingHat
user_data_domain,keyword,true,Domain associated to the user in SortingHat profile.,GrimoireLab / SortingHat
user_data_gender,keyword,true,"User gender, based on her name (disabled by default).",GrimoireLab / SortingHat
user_data_gender_acc,long,true,User gender accuracy (disabled by default).,GrimoireLab / SortingHat
user_data_id,keyword,true,User Id from SortingHat.,GrimoireLab / SortingHat
user_data_multi_org_names,keyword,true,List of the user organizations from SortingHat profile.,GrimoireLab / SortingHat
user_data_name,keyword,true,User's name from SortingHat profile,GrimoireLab / SortingHat
user_data_org_name,keyword,true,User's organization name from SortingHat profile.,GrimoireLab / SortingHat
user_data_user_name,keyword,true,User's username from SortingHat profile.,GrimoireLab / SortingHat
user_data_uuid,keyword,true,User's UUID from SortingHat profile.,GrimoireLab / SortingHat
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
