name,type,aggregatable,description,raw / calculated
answer_status,keyword,true,Answer status.,Data Source / Parsed
answer_count,long,true,Answer count.,Data Source / Parsed
answer_id,long,true,Answer id.,Data Source / Parsed
answer_tags,keyword,true,Answer tags.,Data Source / Parsed
answers_tags,keyword,true,Answers tags.,Data Source / Parsed
author_bot,boolean,true,Author bot.,GrimoireLab / SortingHat
author_id,keyword,true,Author id.,GrimoireLab / SortingHat
author,keyword,true,Author.,Data Source / Parsed
author_link,keyword,true,Author link.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author org name.,GrimoireLab / SortingHat
author_reputation,long,true,Author reputation.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author user name.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author uuid.,GrimoireLab / SortingHat
comment_count,long,true,Comment count.,Data Source / Parsed
creation_date,date,true,Creation date.,Data Source / Parsed
delete_vote_count,long,true,Delete vote count.,Data Source / Parsed
down_vote_count,long,true,Down vote count.,Data Source / Parsed
favorite_count,long,true,Favorite count.,Data Source / Parsed
grimoire_creation_date,date,true,Date when the item was created in GrimoireLab.,GrimoireLab
is_accepted,boolean,true,Is accepted.,GrimoireLab
is_accepted_answer,long,true,Is accepted answer.,GrimoireLab
is_stackexchange_answer,long,true,Is stackexchange answer.,GrimoireLab
is_stackexchange_question,long,true,Is stackexchange question.,GrimoireLab
item_id,long,true,Item id.,Data Source / Parsed
last_activity_date,long,true,Last activity date.,Data Source / Parsed
link,keyword,true,Link.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
origin,keyword,true,Repository or source URL.,Data Source / Parsed
owner_bot,boolean,true,Owner bot.,GrimoireLab / SortingHat
owner_id,keyword,true,Owner id.,GrimoireLab / SortingHat
owner_name,keyword,true,Owner name.,GrimoireLab / SortingHat
owner_org_name,keyword,true,Owner org name.,GrimoireLab / SortingHat
owner_user_name,keyword,true,Owner user name.,GrimoireLab / SortingHat
owner_uuid,keyword,true,Owner uuid.,GrimoireLab / SortingHat
question_accepted_answer_id,long,true,Question accepted answer id.,Data Source / Parsed
question_has_accepted_answer,boolean,true,Question has accepted answer.,Data Source / Parsed
question_id,long,true,Question id.,Data Source / Parsed
question_tags,keyword,true,Question tags.,Data Source / Parsed
question_title,keyword,true,Question title.,Data Source / Parsed
repository_labels,keyword,true,Labels attached to the repository from projects.json.,GrimoireLab / projects.json
score,long,true,Score.,Data Source / Parsed
tag,keyword,true,Tag provided by the data source.,Data Source / Parsed
tags,keyword,true,Tags.,Data Source / Parsed
thread_tags,keyword,true,Thread tags.,Data Source / Parsed
title_analyzed,text,false,Title analyzed.,Data Source / Parsed
title,keyword,true,Title.,Data Source / Parsed
type,keyword,true,Type.,Data Source / Parsed
up_vote_count,long,true,Up vote count.,Data Source / Parsed
uuid,keyword,true,Item UUID.,Data Source / Parsed
view_count,long,true,View count.,Data Source / Parsed
