name,type,aggregatable,description,raw / calculated
author_bot,boolean,true,Author bot.,GrimoireLab / SortingHat
author_id,keyword,true,Author id.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author org name.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author user name.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author uuid.,GrimoireLab / SortingHat
body_analyzed,text,false,Body analyzed.,Data Source / Parsed
body,keyword,true,Body.,Data Source / Parsed
channel,keyword,true,Channel.,Data Source / Parsed
grimoire_creation_date,date,true,Date when the item was created in GrimoireLab.,GrimoireLab
is_supybot_message,long,true,Is supybot message.,GrimoireLab
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
nick_bot,boolean,true,Nick bot.,GrimoireLab / SortingHat
nick_id,keyword,true,Nick id.,Data Source / Parsed
nick,keyword,true,Nick.,Data Source / Parsed
nick_name,keyword,true,Nick name.,Data Source / Parsed
nick_org_name,keyword,true,Nick org name.,GrimoireLab / SortingHat
nick_user_name,keyword,true,Nick user name.,Data Source / Parsed
nick_uuid,keyword,true,Nick uuid.,GrimoireLab / SortingHat
origin,keyword,true,Repository or source URL.,Data Source / Parsed
repository_labels,keyword,true,Labels attached to the repository from projects.json.,GrimoireLab / projects.json
sent_date,date,true,Sent date.,Data Source / Parsed
tag,keyword,true,Tag provided by the data source.,Data Source / Parsed
type,keyword,true,Type.,Data Source / Parsed
update_date,date,true,Update date.,Data Source / Parsed
uuid,keyword,true,Item UUID.,Data Source / Parsed
