name,type,aggregatable,description,raw / calculated
author,keyword,true,Author.,Data Source / Parsed
author_id,long,true,Author id.,GrimoireLab / SortingHat
author_last_name,keyword,true,Author last name.,GrimoireLab / SortingHat
chat_id,long,true,Chat id.,Data Source / Parsed
chat_title,keyword,true,Chat title.,Data Source / Parsed
chat_type,keyword,true,Chat type.,Data Source / Parsed
from_id,long,true,From id.,Data Source / Parsed
grimoire_creation_date,date,true,Date when the item was created in GrimoireLab.,GrimoireLab
is_telegram_telegram,long,true,Is telegram telegram.,GrimoireLab
message_id,long,true,Message id.,Data Source / Parsed
message,text,false,Message.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
metadata__filter_raw,keyword,true,Raw filter applied when collecting data.,GrimoireLab
offset,long,true,Offset of the document in the data source.,Data Source / Parsed
origin,keyword,true,Repository or source URL.,Data Source / Parsed
reply_to_author,keyword,true,Reply to author.,Data Source / Parsed
reply_to_author_id,long,true,Reply to author id.,Data Source / Parsed
reply_to_author_last_name,keyword,true,Reply to author last name.,Data Source / Parsed
reply_to_chat_id,long,true,Reply to chat id.,Data Source / Parsed
reply_to_chat_title,keyword,true,Reply to chat title.,Data Source / Parsed
reply_to_chat_type,keyword,true,Reply to chat type.,Data Source / Parsed
reply_to_message,keyword,true,Reply to message.,Data Source / Parsed
reply_to_message_id,long,true,Reply to message id.,Data Source / Parsed
reply_to_sent_date,long,true,Reply to sent date.,Data Source / Parsed
reply_to_username,keyword,true,Reply to username.,Data Source / Parsed
repository_labels,keyword,true,Labels attached to the repository from projects.json.,GrimoireLab / projects.json
tag,keyword,true,Tag provided by the data source.,Data Source / Parsed
text_analyzed,text,false,Text analyzed.,Data Source / Parsed
text_edited,boolean,true,Text edited.,Data Source / Parsed
"sent_date,",long,true,"Sent date,.",Data Source / Parsed
sticker,object,true,Sticker.,Data Source / Parsed
update_id,long,true,Update id.,Data Source / Parsed
username,keyword,true,Username.,Data Source / Parsed
uuid,keyword,true,Item UUID.,Data Source / Parsed
